conversation_id_str,full_text,created_at,full_text_preprocessed,Topik
1.276347361258664e+18,Harus dijawab ini oleh @Menlu_RI,2020-06-26 02:51:38+00:00,menlu_ri,0
1.276390965121479e+18,Fadli Zon Minta Kemenlu Jawab Amerika yang Sebut Indonesia dalam Bahaya Partai Komunis China | https://t.co/atjFsY8tfk https://t.co/t1qWzEe7LQ,2020-06-26 05:44:54+00:00,fadli zon kemenlu amerika indonesia bahaya partai komunis china,0
1.3245614995415695e+18,Reynhard di Inggris yg jelas2 super kriminal n memalukan Indonesia diberi bantuan hukum. Habib Rizieq Shihab (HRS) di Saudi Arabia malah dipojokkan pernyataan2 Menko @mohmahfudmd n Dubes RI di Saudi. Sungguh tak adil n ironis. Selamat datang HRS ! #AhlanWaSahlanIBHRS @Menlu_RI,2020-11-06 03:57:25+00:00,reynhard inggris super kriminal memalukan indonesia bantuan hukum habib rizieq shihab hrs saudi arabia dipojokkan pernyataan menko mohmahfudmd dubes saudi sungguh adil ironis selamat hrs ahlanwasahlanibhrs menlu_ri,-1
1.3261950218260726e+18,Sbg anggota @DPR_RI Komisi 1 sy usulkan kpd @Menlu_RI agar segera menarik n mengganti Dubes RI di Saudi. Yg bersangkutan sdh berada di sana hampir 5 tahun. Komentarnya selalu miring soal Habib Rizieq Shihab pdhal Dubes RI seharusnya melayani melindungi n membela warga RI.,2020-11-10 16:08:27+00:00,sbg anggota dpr_ri komisi usulkan kpd menlu_ri menarik mengganti dubes saudi bersangkutan sdh komentarnya miring habib rizieq shihab pdhal dubes melayani melindungi membela warga,-1
1.9482165687745864e+18,"Sepakat dengan Trump, Prabowo Hapus Syarat TKDN Produk-produk AS",2025-07-24 04:00:00+00:00,sepakat trump prabowo hapus syarat tkdn produk produk,8
1.9837764713795092e+18,@SenatorWong @Menlu_RI @Kemlu_RI @dfat More COSPLAY ,2025-10-30 08:08:27+00:00,senatorwong menlu_ri kemlu_ri dfat more cosplay,0
1.98381344465553e+18,Menlu Sugiono Ajak ASEAN Kompak Lawan Kejahatan Online - https://t.co/7HPOuU9OoQ https://t.co/dodYSM1EWE,2025-10-30 08:29:17+00:00,menlu sugiono ajak asean kompak lawan kejahatan online,0
1.9837772711703964e+18,@senjatanuklir @Menlu_RI @Kemlu_RI compare sama korsel coba gimana negara hadir buat rakyatnya di kasus kaya gini. baru2 aja beritanya padahal,2025-10-30 08:39:02+00:00,senjatanuklir menlu_ri kemlu_ri compare korsel coba gimana negara hadir rakyatnya kaya gini beritanya,0
1.983485140887376e+18,@PresidenKopi Ada kontrexin ndak untuk @Menlu_RI,2025-10-30 08:40:18+00:00,presidenkopi kontrexin ndak menlu_ri,0
1.98386735581934e+18,Bertemu Menlu Finlandia Menko AHY Jajaki Peluang Kolaborasi Strategis Antar Negara https://t.co/mm9CXAxVFC,2025-10-30 12:03:30+00:00,bertemu menlu finlandia menko ahy jajaki peluang kolaborasi strategis negara,-1
1.9838708218202e+18,Mohon bantuan pak @Menlu_RI @prabowo @puanmaharani_ri @riekediahp @chicohakim @ganjarpranowo @WagimanDeep212_ Warga Indonesia sepertinya di ANIAYA ,2025-10-30 12:17:17+00:00,mohon bantuan menlu_ri prabowo puanmaharani_ri riekediahp chicohakim ganjarpranowo wagimandeep_ warga indonesia aniaya,0
1.9838849047369444e+18,Menlu kurang kerjaan Urusan dalam negeri kenapa disuruh orang luar ikutan Apakah mau menunjukkan bahwa orang Indonesia tidak memiliki kemampuan untuk mengurus hal tersebut atau. ... suruh Amerika mundur dari NATO baru Menlu ini keren ,2025-10-30 13:13:14+00:00,menlu kerjaan urusan negeri disuruh ikutan indonesia tidak memiliki kemampuan mengurus suruh amerika mundur nato menlu keren,0
1.9838921485264364e+18,@Menlu_RI sugiono suruh kerja jangan tidur mulu min!,2025-10-30 13:46:03+00:00,menlu_ri sugiono suruh kerja jangan tidur mulu min,0
1.983890230857093e+18,@itzare27 yang punya sindikat aja tuh orang kepolisian sendiri underground mafia human trafficking satu kubu sama yang megang judol staff menlu yg dibunuh kan mau coba nyelidikin itu dan dia tau makanya dibunuh,2025-10-30 13:52:40+00:00,itzare sindikat tuh kepolisian underground mafia human trafficking kubu megang judol staff menlu dibunuh coba nyelidikin dibunuh,0
1.983908675166335e+18,menlu bisa apa?,2025-10-30 14:47:42+00:00,menlu,1
