Topic,Count,Name,Representation,Representative_Docs
-1,755,-1_indonesia_bencana_menteri_menlu_ri,"['indonesia', 'bencana', 'menteri', 'menlu_ri', 'banjir', 'kerja', 'warga terdampak', 'memulihkan warga', 'sumatera', 'bantuan presiden']","['presiden prabowo subianto mengaku dihubungi kepala negara menawarkan bantuan penanganan bencana banjir bandang tanah longsor aceh sumatera utara sumatera barat pernyataan disampaikannya sidang kabinet paripurna istana negara', 'presiden prabowo pimpin rapat kabinet hambalang bahas penanganan bencana kesiapan libur presiden republik indonesia prabowo subianto memanggil menteri kabinet merah putih mengikuti rapat terbatas kediaman hambalang bogor jawa barat', 'presiden prabowo subianto memanggil menteri kabinet merah putih membahas percepatan penanganan bencana sumatera huniankorbanbencana memulihkan warga terdampak']"
0,1505,0_jokowi_menlu_ri_menteri_org,"['jokowi', 'menlu_ri', 'menteri', 'org', 'prabowo presiden', 'mantan', 'polri', 'nabi', 'pejabat', 'presiden presiden']","['muhammadtuhasan prabowo ngejar presiden kebanyakan omon dipodium amp rajin kunjungan tindakan lambat asli nyalinya ciut klo benaran pemimpin amanah rakyat bikin kabinet gemuk amp berani ganti jokowe benalu dipemerintahannya penakuut', 'jimlyas mohmahfudmd susnog jokowi prabowo sbyudhoyono pastee ijazahnya jokowi aseliii susnog hnya permainan politik mendegradasi kredibilitas bpk jokowi walkot gubernur amp presiden periode pake ijazah palsu sampeyan waras klo kledung ntuu gmpang bodohin itje', 'nenkmonica setuju ide susnog kapolri sigit kuat kekuatan menggurita gimana kuat presiden prabowo dilawan putusan officialmkri heran klo kapolri benteng jokowi']"
1,458,1_kerja_kerja kerja_pulang kerja_besok,"['kerja', 'kerja kerja', 'pulang kerja', 'besok', 'sampe', 'duit', 'malam', 'kerja keras', 'jam kerja', 'kerja bener']","['bunnyyuki kerja bayi mataku', 'bayi kerja', 'mayan nemenin kerja']"
2,356,2_rekonstruksi pascabencana_prabowo bangun_rekonstruksi_bangun rekonstruksi,"['rekonstruksi pascabencana', 'prabowo bangun', 'rekonstruksi', 'bangun rekonstruksi', 'pemulihan', 'pascabencana rumah', 'rumah rusak', 'dipulihkan', 'infrastruktur', 'memulihkan']","['kondisi sulit presiden prabowo menemui warga membawa pesan prabowo bangun rekonstruksi pascabencana rumah rusak diganti', 'kondisi sulit presiden prabowo prabowo bangun rekonstruksi pascabencana pemulihan listrik jalan infrastruktur', 'prabowo bangun hancur rekonstruksi pascabencana rumah warga penundaan']"
3,245,3_pulihkan infrastruktur_pasca bencana_pulihkan_masyarakat,"['pulihkan infrastruktur', 'pasca bencana', 'pulihkan', 'masyarakat', 'pusat', 'masyarakat bangkit', 'bencana presiden', 'pemerintah pusat', 'jajaran pemerintah', 'pembangunan']","['terbuang masyarakat bangkit pasca bencana prabowo pulihkan infrastruktur nyata', 'prabowo pulihkan infrastruktur percepatan akses darurat masyarakat bangkit pasca bencana', 'presiden prabowo akses darurat prabowo pulihkan infrastruktur masyarakat bangkit pasca bencana']"
4,143,4_sumatera_bencana sumatera_korban bencana_warga terdampak,"['sumatera', 'bencana sumatera', 'korban bencana', 'warga terdampak', 'memulihkan warga', 'sumatera utara', 'sumatera presiden', 'sumatera huniankorbanbencana', 'indonesia', 'terdampak bencana']","['presiden mendorong percepatan pembangunan hunian korban bencana aceh sumatera utara sumatera barat huniankorbanbencana memulihkan warga terdampak', 'presiden prabowo kumpulkan mentri membahas percepatan hunian korban bencana sumatera huniankorbanbencana memulihkan warga terdampak', 'presiden prabowo kumpulkan menteri membahas percepatan hunian korban bencana sumatera huniankorbanbencana memulihkan warga terdampak']"
5,125,5_memulihkan warga_warga terdampak_bencana_korban bencana,"['memulihkan warga', 'warga terdampak', 'bencana', 'korban bencana', 'huniankorbanbencana memulihkan', 'hunian korban', 'pemulihan', 'terdampak presiden', 'terdampak huniankorbanbencana', 'prabowo perintahkan']","['presiden prabowo perintahkan percepatan hunian korban bencana huniankorbanbencana memulihkan warga terdampak', 'presiden prabowo gercepkan huniankorbanbencana memulihkan warga terdampak', 'presiden prabowo perintahkan perceat hunian korban bencana huniankorbanbencana memulihkan warga terdampak']"
6,121,6_hutan_lingkungan_kayu_aceh tamiang,"['hutan', 'lingkungan', 'kayu', 'aceh tamiang', 'banjir aceh', 'semuatanganibencana presiden', 'hektar', 'pencegahan', 'penebangan hutan', 'pohon']","['presiden prabowo mendesak pengawasan ketat pembalakan liar meninjau banjir aceh tamiang semuatanganibencana', 'tinjau banjir aceh tamiang presiden prabowo desak pengawasan ketat pembalakan liar semuatanganibencana', 'tinjauan presiden prabowo aceh tamiang pencegahan bencana menjaga hutan lingkungan pengawasan ketat pembalakan liar kunci bencana terulang semuatanganibencana']"
7,120,7_indonesia_presiden indonesia_indonesia presiden_rakyat indonesia,"['indonesia', 'presiden indonesia', 'indonesia presiden', 'rakyat indonesia', 'republik indonesia', 'salam atlet', 'atlet indonesia', 'jakarta', 'prabowo salam', 'kemenlu kabinetmerahputih']","['kenzie_sr konsultannya korea selatan indonesia presiden indonesia otoriter diktator kali memaksa industrialisasi keras', 'indonesia merdeka tujuan indonesia merdeka hanha syarat mencapai kebahagiaan kemakmuran rakyat drs mohammad hatta wakit presiden indonesia', 'ayo indonesia presiden indonesia jenderal cerdas']"
8,111,8_bencana_bencana nasional_bantuan asing_penanganan bencana,"['bencana', 'bencana nasional', 'bantuan asing', 'penanganan bencana', 'status bencana', 'korban bencana', 'menangani bencana', 'semuatanganibencana presiden', 'terdampak bencana', 'berita']","['gapazhe secretnesia presiden ngapain nanya purbaya tetapkan bencana nasional klo tetapkan bencana nasional bantuan langsung masuk goblok', 'ferrykoto aniesbaswedan sengaja mancing bencana nasional biar bantuan asing masuk bantuan asing masuk pastikan kepentingan ngikut presiden mikir', 'makanye naikin status bencana nasional biar cepat pulih dibantu asing giliran ikn sibuk bantuan asing giliran bencana anti asing gini presiden gila prabowo']"
9,89,9_palestina_israel_gencatan senjata_suriah,"['palestina', 'israel', 'gencatan senjata', 'suriah', 'perdamaian', 'arab', 'islam', 'turki', 'amerika serikat', 'gaza palestina']","['dukung pernyataan menlu menlu negara arab islam hnw tolak bentuk pengusiran warga gaza palestina israel', 'dukung menlu menlu negara arab islam hnw tolak bentuk pengusiran warga gaza palestina israel', 'dukung menlu menlu negara arab islam hnw tolak bentuk pengusiran warga gaza palestina israel']"
